QID,QUESTION,CORRECT ANSWER,A,B,C,D,E,F,EXPLANATION/NOTES,Snowflake Documentation,Image URL,Topic(s)
1,Will data cached in a warehouse be lost when the warehouse is resized?,A,"Possibly, if the warehouse is resized to a smaller size and the cache no longer fits.",Yes. because the compute resource is replaced in its entirety with a new compute resource.,No. because the size of the cache is independent from the warehouse size,Yes. became the new compute resource will no longer have access to the cache encryption key,,,"Unlike Metadata cache or Query Result cache, Warehouse cache is usable through the specific VWH only\n
VWH cache gets cleared when VWH is suspended\n
If cache-size is too small, least-recently-used data is emptied first",https://docs.snowflake.com/en/user-guide/warehouses-considerations#scaling-up-vs-scaling-out,,Performance Concepts
2,What are ways to create and manage data shares in Snowflake? (Choose two.),"A,C",Through the Snowflake web interface (UI),Through the DATA_SHARE=TRUE parameter,Through SQL commands,Through the enable_share=true parameter,Using the CREATE SHARE AS SELECT * TABLE command,,,https://docs.snowflake.com/en/user-guide/data-sharing-provider,,Data Protection and Data Sharing
3,What is the purpose of an External Function?,A,To call code that executes outside of Snowflake,To run a function in another Snowflake database,To share data in Snowflake with external parties,To ingest data from on-premises data sources,,,"External functions are a type of User-Defined-Function (UDF)\n
• Snowflake supports scalar external functions; the remote service must return exactly one row for each row received\n
• Snowflake stores security-related external function information in an API integration",https://docs.snowflake.com/en/sql-reference/external-functions-introduction,,Data Transformations
4,Which is the MINIMUM required Snowflake edition that a user must have if they want to use AWS/Azure Privatelink or Google Cloud Private Service Connect?,D,Standard,Premium,Enterprise,Business Critical,,,**Concept included in test from Sept 2024,"https://docs.snowflake.com/en/user-guide/intro-editions, https://docs.snowflake.com/en/user-guide/admin-security-privatelink",,"Snowflake AI Data Cloud Features and Architecture, Account Access and Security"
5,What happens when a virtual warehouse is resized?,B,When increasing the size of an active warehouse the compute resource for all running and queued queries on the warehouse are affected,When reducing the size of a warehouse the compute resources are removed only when they are no longer being used to execute any current statements.,The warehouse will be suspended while the new compute resource is provisioned and will resume automatically once provisioning is complete.,Users who are trying to use the warehouse will receive an error message until the resizing is complete,,,,https://docs.snowflake.com/en/user-guide/warehouses-tasks,,Performance Concepts
6,What features does Snowflake Time Travel enable?,B,Querying data-related objects that were created within the past 365 days,Restoring data-related objects that have been deleted within the past 90 days,Conducting point-in-time analysis for BI reporting,Analyzing data usage/manipulation over all periods of time,,,"Snowflake Time Travel enables accessing historical data (i.e. data that has been changed or deleted) at any point within a defined period. It serves as a powerful tool for performing the following tasks:\n
-Restoring data-related objects (tables, schemas, and databases) that might have been accidentally or intentionally deleted.\n
-Duplicating and backing up data from key points in the past.\n
-Analyzing data usage/manipulation over specified periods of time.",https://docs.snowflake.com/en/user-guide/data-time-travel,,"Data Protection and Data Sharing, Snowflake AI Data Cloud Features and Architecture"
7,A virtual warehouse's auto-suspend and auto-resume settings apply to which of the following?,B,The primary cluster in the virtual warehouse,The entire virtual warehouse,The database in which the virtual warehouse resides,The Queries currently being run on the virtual warehouse,,,,https://docs.snowflake.com/en/user-guide/warehouses-overview,,Performance Concepts
8,What are value types that a VARIANT column can store? (Choose two.),"B,D",STRUCT,OBJECT,BINARY,ARRAY,CLOB,,**Concept included in test from Sept 2024,https://docs.snowflake.com/en/sql-reference/data-types-semistructured,,Data Transformations
9,"True or False: 
It is possible for a user to run a query against the query result cache without requiring an active warehouse?",A,TRUE,FALSE,,,,,,https://community.snowflake.com/s/article/Understanding-Result-Caching,,"Data Transformations, Performance Concepts"
10,Which of the following indicates that it may be appropriate to use a clustering key for a table? (Choose two.),"D,E",The table contains a column that has very low cardinality,DML statements that are being issued against the table are blocked,The table has a small number of micro-partitions,Queries on the table are running slower than expected,The clustering depth for the table is large,,"Queries on the table are running slower than expected or have noticeably degraded over time.\n

The clustering depth for the table is large.\n

**Concept included in test from Sept 2024",https://docs.snowflake.com/en/user-guide/tables-clustering-keys#label-considerations-for-choosing-clustering,,Performance Concepts
11,Which of the following can be executed/called with Snowpipe?,C,A User Defined Function (UDF),A stored procedure,A single copy_into statement,A single insert__into statement,,,,"https://docs.snowflake.com/en/user-guide/data-load-snowpipe-intro, https://docs.snowflake.com/en/sql-reference/sql/create-pipe",,"Data Loading and Unloading, Snowflake AI Data Cloud Features and Architecture, Data Transformations"
